Deputado,Partido,Estado,Voto,Gênero,Fala,
Tenente Lúcio,PSB,MG,Sim,M,"Por Minas e pelo Brasil, pelo Exército Brasileiro, quero aqui, Sr. Presidente, em nome do grupão de amigos de Uberlândia e região, Alexandre Andrade, em nome da memória de Eduardo Campos, que me trouxe para o PSB, Valentina, dizer que o meu voto é sim.",
Toninho Pinheiro,PP,MG,Sim,M,"Com muita humildade e respeito, pela minha amada Ibirité, por toda Minas Gerais e pelo Brasil, nós pedimos, punição exemplar contra aqueles políticos que se juntaram a alguns empreiteiros milionários que estão roubando o Brasil há mais de 20 anos, dos mais diversos partidos e Governos, conforme se confirma na Lava Jato. Eu quero pedir a Deus sabedoria. Não queremos enganar a população e precisamos encontrar um caminho para que ninguém nunca mais roube no Brasil e nunca falte recurso para a saúde. Eu voto sim pelo impeachment.",
Weliton Prado,PMB,MG,Sim,M,"Repudio e sou contra a negociação de cargos feita à vista pelo Governo, repudio e sou contra a negociação de cargos feita a prazo pelo Temer. Se há crime de responsabilidade para a Dilma, há crime, sim, de responsabilidade para o Temer. Cartão vermelho para Dilma! Cartão vermelho para Temer! Cartão vermelho para Cunha! Para pacificar o País, Constituinte exclusiva! Para pacificar o País, novas eleições e uma reforma política já! Meu voto é sim.",
Zé Silva,SD,MG,Sim,M,"Pela agricultura familiar, pela extensão rural brasileira, pela minha família, por Minas Gerais e pelo Brasil. O outro nome de Minas é liberdade. Eu voto sim!",
Afonso Florence,PT,BA,Não,M,"Considerando que esse processo de impeachment está maculado na sua origem, porque foi acatado num processo de esforço do Deputado Eduardo Cunha para impedir a admissibilidade da investigação no Conselho de Ética, quando o PT se negou a votar; considerando que não há crime de responsabilidade e considerando que a pauta traz a derrota de uma agenda conservadora, que agora é vitoriosa, com a luta da reforma agrária, que está na rua, do Bolsa Família, do Minha Casa, Minha Vida, das contas das universidades, do povo negro, com a luta pelos direitos das mulheres, que estão na rua com o movimento estudantil e a juventude lutando pela legalidade ",
Alice Portugal,PCdoB,BA,Não,F,"O Brasil já tem a prova de que não há crime. Se não hácrime de responsabilidade, não há justificativa para impeachment e é golpe. O tribunal de exceção foi montado, como o inquisitor à frente, Sr. Eduardo Cunha! Na Bahia se diz: com tiranos não combinam brasileiros, corações. O Brasil não engolirá a sua tirania nem o cretinismo parlamentar. É não ao golpe! Não ao golpe.",
Antonio Brito,PSD,BA,Não,M,"Sr. Presidente, meu voto é não.",
Antonio Imbassahy,PSDB,BA,Sim,M,"Sr. Presidente, pedindo a Deus que ilumine o Brasil, eu vim da Bahia para dizer sim.",
Arthur Oliveira Maia,PPS,BA,Sim,M,"Sr. Presidente, eu voto com a maioria do povo brasileiro. Eu voto, Sr. Presidente, na esperança de construirmos um País em que caiba a grandeza da felicidade, do futuro de todos os brasileiros. Pela Bahia e pelo Brasil! Meu voto é sim.",
Bacelar,PTN,BA,Não,M,"Em respeito à Constituição, à democracia e ao povo, voto não.",
Bebeto,PSB,BA,Não,M,"Sr. Presidente, em momentos de dificuldades é que podemos afirmar o nosso caráter e a nossa trajetória. A minha trajetória reclama ter uma posição nesta sessão distinta da facilidade que muitos têm tido de encaminhar o voto sim. A minha trajetória reclama respeito à classe trabalhadora, respeito à democracia, respeito à valorização social do trabalho. É nessa circunstância, respeitando a democracia, respeitando a classe trabalhadora, que quero aqui encaminhar o voto não neste processo.",
Benito Gama,PTB,BA,Sim,M,"Sr. Presidente, como representante do povo da Bahia e pelo Brasil, voto sim.",
Cacá Leão,PP,BA,Abstenção,M,"Todos os amigos da Bahia conhecem a nossa posição no Estado. Jamais poderia faltar coerência na minha posição neste momento. Não posso permitir que a traição marque a minha vida e a da minha família, mas não posso desrespeitar a orientação do meu partido, que fechou questão a favor do impeachment. Então, eu me abstenho desta votação.",
Caetano,PT,BA,Não,M,"Sr. Presidente, povo brasileiro, neste instante, quero dizer ao Brasil que não sou covarde. Quero dizer ao Brasil que voto pelos filhos do povo, pelos filhos do povo da invasão, das ocupações, dos sem-terra, dos sem-teto, pelos trabalhadores de Camaçari, da Bahia, do sertão, do Nordeste, do Brasil. Senhoras e senhores, olhem esta Mesa que está aí: Mesa de traidores, de conspiradores. Eu voto contra; eu voto não; eu voto pelo Brasil; eu voto pelo povo brasileiro; eu voto não, contra V.Exa., Sr. Presidente; eu voto não contra Michel Temer; eu voto a favor do Brasil. Não! Não! Não, contra vocês.",
Claudio Cajado,DEM,BA,Sim,M,"Pelas baianas e baianos que querem um País decente, em nome da minha cidade, Dias d'Ávila, que me projetou para a vida pública, digo que o povo brasileiro não é refém deste momento, mas passageiro rumo ao futuro e ao seu melhor destino. Para que os governantes brasileiros possam cumprir a Constituição da República do Brasil e as leis brasileiras que ao tomarem posse juraram defender e cumprir, voto sim, pelo impeachment.",
Daniel Almeida,PCdoB,BA,Não,M,"Esse processo está se constituindo numa farsa e é ilegal, imoral, ilegítimo. O povo brasileiro está acompanhando essa farsa. Por isso, está na rua, reclamando, com a consciência democrática deste País, que não aceita golpe. Eu voto não ao golpe.",
Davidson Magalhães,PCdoB,BA,Não,M,"Em defesa da democracia, que aqui, hoje, está vivendo uma farsa, dirigida por um réu de processo de corrupção no STF, em defesa do povo brasileiro, em nome da Bahia, em nome da minha região sul da Bahia, em nome da minha cidade Itabuna, em defesa da CEPLAC e do pré-sal, não ao golpe. Não passará!",
Elmar Nascimento,DEM,BA,Sim,M,"Para extirpar da vida nacional essa organização criminosa que sequestrou a Bahia e o Brasil, pelo Brasil e pelos brasileiros, pela Bahia e pelos baianos, pelo futuro das minhas Mariana e Juliana, encho o peito de orgulho, e este campo-formosense vota sim. Viva o Brasil!",
Erivelton Santana,PEN,BA,Sim,M,"Presidente, pelo resgate da esperança do povo brasileiro, pela reconstrução do nosso País, mas, sobretudo, em defesa da vida, da família e da fé, voto sim.",
Félix Mendonça Júnior,PDT,BA,Não,M,"Sr. Presidente, já com a clareza do resultado, vou acompanhar meu partido votando não.",
Fernando Torres,PSD,BA,Não,M,"Sr. Presidente, o senhor talvez seja o Deputado que mais conhece o Regimento, mas não era para estar sentado nesta cadeira. O senhor, Presidente, não era para estar aí. Estão me vaiando! Mas eu vou esperar, Presidente, que o Conselho de Ética mande sua cassação para o Plenário e vou votar sim à sua cassação. Eu voto, Sr. Presidente, não.",
Irmão Lazaro,PSC,BA,Sim,M,"Existe uma frase que se encaixa bem a este momento: A soberba precede à queda. Isso deve servir de exemplo para cada um de nós, porque não há ninguém que aja com soberba que, um dia, não experimente a queda. É muita soberba abrir rombos bilionários nos cofres públicos e achar que não vai acontecer nada. É muita soberba, mas que isso sirva de exemplo para cada um de nós, tanto para os Deputados que compõem a base do Governo quanto para os Deputados da Oposição. A soberba precede à queda. Meu voto é sim, Sr. Presidente.",
João Carlos Bacelar,PR,BA,Não,M,"Sr. Presidente, com a posição já consolidada aqui no plenário, eu poderia ser oportunista, mas não sou em virtude do meu posicionamento partidário. Meu voto é não, Sr. Presidente.",
João Gualberto,PSDB,BA,Sim,M,"Com a convicção de que este Governo da Presidenta Dilma, corrupto e mentiroso, cometeu crime de responsabilidade fiscal e sonhando com um Governo sem corrupção, na esperança de que o próximo Presidente governe para o Brasil e não para o seu partido, aproveitando para homenagear o Ministério Público, a Polícia Federal, o Juiz Sérgio Moro e pedir que se prenda o resto dos corruptos, homenageando Hélio Bicudo, Janaina Paschoal e Miguel Reale Júnior, pela minha querida Mata de São João, pela minha Bahia, pelo Brasil verde e amarelo, eu voto sim.",
Jorge Solla,PT,BA,Não,M,"Pelos trabalhadores, pela população brasileira que está nas ruas se manifestando contra o golpe, pelos companheiros da Bahia que estão mobilizados para não aceitar mais um golpe de estado neste País... Ninguém acredita, nem vocês acreditam que é solução para o Brasil tirar a Dilma e deixar o Temer e Eduardo Cunha. Mas vocês não querem solução para o Brasil. Vocês querem solução para as situações particulares de cada um vocês. É por isto que vocês corruptos se alinharam com a Oposição e rasgaram a Constituição: para fazer um golpe de Estado neste País. Meu voto é não ao golpe.",
José Carlos Aleluia,DEM,BA,Sim,M,"Durante 13 anos, o meu partido, o Democratas, fez oposição ao projeto criminoso implantado por Luiz Inácio Lula da Silva. Em 2007, ele disse que iria extirpar o Democratas da política brasileira. Hoje, nós estamos extirpando Lula e Dilma, e ele vai para a cadeia. Eu estou votando sim pelos crimes que Dilma cometeu e não é só por ter passado cheque sem fundo em nome do povo brasileiro. Ela roubou na refinaria, roubou na PETROBRAS e roubou em Belo Monte. Ela não é honrada. Eu voto sim pelos princípios em respeito à vida, à liberdade e à justiça. Eu voto pelo povo baiano, voto pela minha mulher Maria Luísa, pelos meus filhos e pelos meus netos. Viva o Brasil! Viva a Bahia! Fora, Lula! Fora, Dilma!",
José Carlos Araújo,PR,BA,Não,M,"Srs. Deputados, eu já ouvi falar aqui de todas as coisas, mas eu ainda não ouvi falar ainda de conta na Suíça, eu não ouvi falar ainda em recebimento de propinas. É preciso falar aqui, Sr. Presidente... V.Exa. hoje está rindo, mas agora a bola da vez é o senhor. O senhor vai pagar por tudo que fez. Eu estou votando aqui pela Bahia, pelo Brasil, por minha família, por meus filhos, por meus netos, pela minha querida Chapada Diamantina. É por isso que eu digo, Sr. Presidente, não à corrupção, não a dinheiro em contas na Suíça, não a ter contas e dizer que não tem. As contas estão aí. Isso está provado, Sr. Presidente.",
José Nunes,PSD,BA,Não,M,"Sr. Presidente, Srs. Deputados e Sras. Deputadas, em homenagem ao povo da minha Bahia, em respeito às instituições democráticas, em respeito à Constituição Federal e para manter a minha coerência política, o meu voto é não.",
José Rocha,PR,BA,Não,M,"Sr. Presidente, pela Constituição que eu jurei cumprir, pela democracia, pelo Estado de Direito e pela minha história política de dez mandatos, voto não ao impeachment.",
Jutahy Junior,PSDB,BA,Sim,M,"Em respeito à Constituição, de cuja promulgação eu tive o privilégio de participar, assinando-a, constituinte que fui em 1988, sei que lá estão definidos os crimes de responsabilidade — a Presidente Dilma, através do parecer do Relator Jovair Arantes, muito bem definiu esses crimes. Na certeza de que, sem o movimento popular das ruas do Brasil, nós não teríamos a votação que nós tivemos hoje, em respeito a todos que foram às ruas, aos milhares de brasileiros, em defesa da Bahia e em defesa do Brasil, eu voto sim.",
Lucio Vieira Lima,PMDB,BA,Sim,M,"O meu voto é sim, Sr. Presidente.",
Márcio Marinho,PRB,BA,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, em nome do Brasil, em nome da Bahia, em nome de todos os evangélicos, de todos os cristãos do nosso País, em nome do nosso partido, pela coerência do nosso partido e pelo nosso Presidente Marcos Pereira, nós votamos sim, pelo Brasil.",
Mário Negromonte Jr.,PP,BA,Abstenção,M,"Sr. Presidente, infelizmente, não vou poder votar como o meu coração manda. Meu voto é para os meus eleitores da Bahia, em especial, para os de Paulo Afonso, minha cidade natal, e de Glória. Mas, como não posso descumprir uma determinação do meu Partido Progressista, eu me abstenho de votar.",
Moema Gramacho,PT,BA,Não,F,"Meu Deus! Quanta hipocrisia! Não é Dilma que tem que sair do Palácio, porque Dilma não cometeu crime algum. Quem não tinha que estar nessa cadeira é você, Cunha, você e seus cúmplices, tramando contra Dilma. Vocês não deviam estar mais nessa cadeira! Esses valentes que gritam Fora, Dilma!, não gritam Fora, Cunha!. Por que será? Querem tirar Dilma para salvar Cunha, para se salvarem. Tramam como Temer, no esgoto do Jaburu, tramou para dar rasteira em Dilma. Vocês são uns covardes! Covardes! Pelas trabalhadoras que elegeram a primeira mulher Presidenta da República, pelo povo na rua... Quando os covardes pararem, eu falo. Se eles não pararem, eu vou ficar aqui. Covardes! Covardes! Covardes! Meu voto, pela democracia — fica, Dilma! —, é não. Não ao golpe! Covardes! Covardes",
Paulo Azi,DEM,BA,Sim,M,"Sr. Presidente, o meu voto homenageia a minha família. O meu voto respeita a vontade dos meus eleitores. Pela minha querida Alagoinhas; pela minha Bahia, que tem sofrido tanto nos últimos anos; pelos brasileiros que trabalham, que produzem e que constroem este País, um País de tanta corrupção — o meu voto também éuma homenagem a um exemplo de administrador público, perseguido pelo Governo Federal e Estadual e que, ainda assim, é considerado o melhor Prefeito do Brasil, o Prefeito de Salvador, ACM Neto —; e pelo futuro do Brasil; é sim.",
Paulo Magalhães,PSD,BA,Não,M,"Sr. Presidente, Sras. e Srs. Deputados, o meu voto é não.",
Roberto Britto,PP,BA,Não,M,"Pela Bahia e pela democracia, não.",
Ronaldo Carletto,PP,BA,Não,M,"Sr. Presidente, Sras. e Srs. Deputados, apesar de não concordar com a forma como este Governo conduz o País, entendo que, na democracia, se chega ao poder através do voto. Eleição já! Impeachment não!",
Sérgio Brito,PSD,BA,Não,M,"Sr. Presidente, o meu voto é não.",
Tia Eron,PRB,BA,Sim,F,"Sr. Presidente, Sras. e Srs. Deputados, povo brasileiro, estou muito honrada nesta noite, porque eu sou a voz da mulher negra e da mulher nordestina, que não quer mais a migalha do Governo Federal, pois tem dignidade para trabalhar e para vencer. Eu sou a voz do Presidente Nacional, Marcos Pereira, que traz aqui unidade ao Partido Republicano Brasileiro. Eu sou a voz dos jovens, das crianças da minha Bahia, da minha Salvador, terra mãe deste País, que não se curvará a esta farsa. Vários Deputados chegaram aqui para dizer que não existe crime, e estamos convencidos de que existe, sim, uma configuração do crime de responsabilidade. Portanto, o meu voto é sim, sim, sim.",
Uldurico Junior,PV,BA,Sim,M,"Sr. Presidente, nada como a consciência limpa; consciência limpa por saber e ter a certeza de que houve, sim, crime de responsabilidade; consciência limpa de quem sabe e tem guardado no coração a certeza de que não se vendeu por cargos nem por dinheiro nenhum; consciência de quem sabe e acredita que nós podemos, sim, mudar o nosso País. Em nome do extremo sul da Bahia e em nome do Brasil, o meu voto é a favor da Bahia, a favor do meu País, sim ao impeachment da Presidenta Dilma.",
Valmir Assunção,PT,BA,Não,M,"Povo brasileiro, no dia 17 de abril de 1996, 21 sem-terra foram assassinados no Pará. Quem era Presidente do Brasil? Fernando Henrique Cardoso, do PSDB. Quem era Governador do Pará? Almir Gabriel, do PSDB. E 20 anos se passaram, ficando impunes aqueles que assassinaram nossos companheiros. Por isso, Sr. Presidente, em homenagem àqueles que lutaram, deram a sua vida pela reforma agrária; em homenagem ao Movimento dos Trabalhadores Rurais Sem Terra, ao Movimento dos Trabalhadores Sem Teto e à população negra deste País; em homenagem a quem vive nas favelas; em homenagem àqueles e àquelas que não vão ficar com a marca de golpistas na cara, que nem óleo de peroba vai tirar; em homenagem ao Capitão Lamarca; em homenagem a Marighella, a Zumbi e a Dandara; em homenagem ao povo brasileiro, à minha Bahia, a Itamaraju, ao PT, a Lula e a Dilma; é não.",
Waldenor Pereira,PT,BA,Não,M,"Brasileiros, povo da Bahia, esta sessão será reconhecida no futuro como a maior farsa da história política brasileira. Uma Presidenta honesta, honrada, eleita democraticamente pelo voto popular está sendo julgada por um tribunal de exceção, um tribunal cujo Presidente e mais de 50% dos seus membros são indiciados pelo Ministério Público ou são réus do Supremo Tribunal Federal. Em homenagem aos homens e mulheres do Brasil que lutaram e lutam pela democracia, eu voto não. Eu voto não, contra o golpe!",
Aguinaldo Ribeiro,PP,PB,Sim,M,"Sr. Presidente, hoje não é um dia de homenagem, não é um dia de celebração, é um dia de lamento. E todos nós, todas as forças políticas que aqui estão, devemos ter responsabilidade, a partir de amanhã, com o futuro do nosso País. Eu respeitei democraticamente, como Líder do meu partido, a maioria absoluta que fechou a questão. Eu sou líder da maioria, não sou líder de minoria. Por isso, sigo o meu partido pela admissibilidade desse processo.",
Benjamin Maranhão,SD,PB,Sim,M,"O meu voto está fundamentado no relatório que foi aprovado na Comissão Especial, o relatório que aponta crime de responsabilidade da Presidente Dilma Rousseff. Ela feriu o art. 85 da Constituição. Ela atentou contra a Constituição e contra a Lei Orçamentária. Ela editou créditos, sem autorização, de 90 bilhões de reais. Isso é crime! Ela fez empréstimos em bancos públicos, o que é proibido pela Lei de Responsabilidade Fiscal. Isso também é crime de responsabilidade e improbidade administrativa. Ela participou da compra fraudulenta de Pasadena. Ela é ladra! O dinheiro de Pasadena foi parar na conta de João Santana! Ela responderá por esses atos! Hoje o julgamento é político — do crime de responsabilidade —, mas depois ela vai responder criminalmente. Ela vai responder, sim, à Justiça. E pela Paraíba, pela tradição de luta e coragem do nosso povo, pelo meu partido, o Solidariedade, que lutou incansavelmente até este dia de hoje, eu vou votar sim, pela grandeza do nosso povo e pelo Brasil.",
Damião Feliciano,PDT,PB,Não,M,"Sr. Presidente, Sras. e Srs. Deputados, primeiro, eu rogo a Deus que ilumine os caminhos da Paraíba e os caminhos do Brasil. Pelo Estado Democrático de Direito, seguindo o meu partido, o PDT, eu voto não.",
Efraim Filho,DEM,PB,Sim,M,"Sr. Presidente, voto com a coerência de quem sempre fez oposição ao PT,apontando os seus erros, os seus equívocos e as suas mentiras, apontando os crimes de responsabilidade que causaram um rombo no Orçamento e essa farra com o dinheiro público, cuja conta quem paga é o cidadão. As empresas estão fechando, os pais e mães de família estão desempregados, roubaram o dinheiro dos aposentados nos fundos de pensão. O remédio para um Governo irresponsável está previsto na Constituição e é o impeachment, realizado pelo Congresso e fiscalizado pelo Supremo Federal. Por isso, pelo amor à minha Paraíba e à minha família, meu voto é sim, Sr. Presidente.",
Hugo Motta,PMDB,PB,Sim,M,"Sr. Presidente, com o orgulho de representar nesta Casa o povo do meu Estado, a Paraíba, convicto ainda mais da necessidade de uma união nacional depois deste processo, para que o Brasil retome o seu crescimento e o seu desenvolvimento, eu voto sim!",
Luiz Couto,PT,PB,Não,M,"Este ato é um ato ilegítimo, é um golpe, é um estupro contra a democracia. Esse aí é quem deveria sair daí, esse que está presidindo! Nós vamos reagir! A população vai reagir contra esse golpe, contra os traíras, os golpistas, como esses daqui. Parece que a turma que está em torno da corrupção está aumentando. Por isso, em nome da democracia, em nome dos trabalhadores que estão nas ruas, nós vamos reagir e votamos não!",
Manoel Junior,PMDB,PB,Sim,M,"Sr. Presidente, ecoa nesta Casa o clamor das ruas. A Nação exige mudança. A Nação terá mudança. Contra a corrupção, por mais qualidade na saúde, na educação, na segurança do nosso País; pela honra dos meus eleitores da Paraíba, pelos meus companheiros médicos e da área da Saúde, pelos meus conterrâneos de Pedras de Fogo, pela minha querida João Pessoa, pela Paraíba e pelo Brasil, sim ao impeachment.",
Pedro Cunha Lima,PSDB,PB,Sim,M,"Na exigência do respeito, que carrego por efeito da confiança em mim, voto pela mudança, no compasso da esperança. Vamos em frente com a força. Voto sim!",
Rômulo Gouveia,PSD,PB,Sim,M,"Sr. Presidente, para chegar a esta Casa pedimos confiança à população. No meu Estado da Paraíba, na minha querida Campina Grande, a população inteira pede mudança. A população não aceita este modelo administrativo implantado no País. A minha população, através dos vários segmentos da sociedade, fez com que se decidisse neste instante o futuro do Brasil, que precisa de todos. Precisamos nos unir num Governo de coalizão, para o futuro deste País. Sr. Presidente, em 1952 o jovem Vereador Félix Araújo, em Campina Grande, foi assassinado porque combatia a corrupção. E o que nós estamos votando hoje é o combate à corrupção, é o fim da corrupção. Por isso, Sr. Presidente, em nome da Paraíba, em nome de Campina Grande, voto sim!",
Veneziano Vital do Rêgo,PMDB,PB,Sim,M,"Sr. Presidente, Sras. e Srs. Parlamentares, com equilíbrio, com moderação, como este momento paroxístico para o País e para todos nós nos exige, com responsabilidade jurídica e com consciência política dos nossos votos, a minha posição é favorável ao prosseguimento do processo de impedimento da Presidente.",
Wellington Roberto,PR,PB,Não,M,"Sr. Presidente, Sras. e Srs. Deputados, pela democracia, pelo Brasil, pela nossa Paraíba e sabendo que o impeachment não vai resolver os problemas do nosso País, apesar de defender novas eleições, eu voto não.",
Wilson Filho,PTB,PB,Sim,M,"Sr. Presidente, Deputados e Deputadas do Brasil, eu tenho orgulho de neste momento histórico representar o meu Estado, a Paraíba. Em nome de João Pessoa, em nome de todo o Estado eu decidi olhar para o futuro, apostar na boa política e na renovação da esperança do brasileiro. As pedaladas fiscais aconteceram, e nós estamos no momento certo para mudar o Brasil. Está na hora de mudar o Brasil! Eu voto sim.",
Adalberto Cavalcanti,PTB,PE,Não,M,"Sr. Presidente, em nome do meu querido Estado de Pernambuco, em nome dos 100 mil eleitores de quem eu recebi os votos, não poderia ser ingrato com a Presidente Dilma nem com o Presidente Lula. Então, mais do que justo: sou contra o impeachment.",
Anderson Ferreira,PR,PE,Sim,M,"Nada, nada justifica um voto que faça o Brasil sofrer. Hoje, nesta Casa, somos chamados para fazer parte da história. Hoje lembrei fortemente do meu pai, que me ensinou os valores da vida, os valores éticos e a política feita em compromisso com o povo. Por Jaboatão de Guararapes, por Pernambuco, pela família brasileira, pela minha esposa e pelos meus filhos, digo sim ao impeachment.",
André de Paula,PSD,PE,Sim,M,"Sr. Presidente, pelos pernambucanos e, de forma especial, pelos 100.785 cidadãos que me honraram com o seu voto para representá-los nesta Casa, fazendo aqui a merecida homenagem a três grandes Parlamentares pernambucanos, Raul Jungmann, Cadoca e Fernando Monteiro, que, se estivem na condição de titular, votariam como eu vou votar, pela ética na política, pela decência, por Pernambuco e pelo Brasil, sim!",
Augusto Coutinho,SD,PE,Sim,M,"Sr. Presidente, com toda a minha convicção, pelo Deputado Felipe Carreras, pela minha família, pelo meu Pernambuco que tanto amo e para que o maior símbolo do Brasil volte a ser a bandeira verde-amarela, eu voto sim!",
Betinho Gomes,PSDB,PE,Sim,M,"Povo brasileiro, nós estamos aqui para autorizar a abertura de um processo contra a Presidente da República. É uma Presidente que cometeu as pedaladas fiscais e gerou um rombo de 60 bilhões, uma Presidente que publicou decretos sem autorização desta Casa, a Casa do Povo, causando um prejuízo de 90 bilhões, uma Presidente que infringiu a Constituição brasileira e que, por isso, vai ser julgada pelo Senado, e, certamente, vai responder pelos crimes de responsabilidade que cometeu. Por isso, é sim ao impeachment!",
Bruno Araújo,PSDB,PE,Sim,M,"Sr. Presidente, quanta honra o destino me reservou de poder da minha voz sair o grito de esperança de milhões de brasileiros. Senhoras e senhores, Pernambuco nunca faltou ao Brasil. Carrego comigo nossas histórias de luta pela liberdade e pela democracia. Por isso, eu digo ao Brasil sim pelo futuro!",
Daniel Coelho,PSDB,PE,Sim,M,"Num momento da história, este Plenário cassou um Presidente que cometeu crime, o ex-Presidente Collor. Esse fato se repete hoje no Brasil. A Presidente Dilma — ex-Presidente Dilma — cometeu crime de responsabilidade ao usar dinheiro público sem autorização desta Casa. A lei é para todos. Eu voto sim com o Brasil. Fora, Dilma! Fora, Dilma!",
Danilo Cabral,PSB,PE,Sim,M,"Sr. Presidente, reassumi o mandato — eu estava ocupando o cargo de Secretário de Estado em Pernambuco — por entender que, neste momento tão importante para a vida do nosso País, não cabia fazermos a delegação deste momento. Em nome da confiança que o povo de Pernambuco nos deu de estar aqui representando um Estado que tem a marca das lutas libertárias, quero aqui, neste momento tão importante para o Brasil de virada de página, prestar uma homenagem a um grande pernambucano que deu o que temos de mais valor, a vida. Em nome de um Brasil diferente, em nome de Eduardo Henrique Accioly Campos, que foi nosso Governador, Presidente do nosso partido, em nome de sonhos de um Brasil mais igual, de um Brasil mais equilibrado, com mais educação e saúde, de um Estado que faça as entregas que a população deseja, em nome daquilo que ele nos pediu, Coragem pra mudar o Brasil, sim.",
Eduardo da Fonte,PP,PE,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, ao lado do meu filho Luiz Eduardo, que aqui está, em nome da minha família, eu gostaria de, primeiro, pedir a Deus que abençoe o Brasil. Eu vou passar a palavra ao meu filho, para que ele possa dizer ao Brasil o meu voto. Sim.",
Fernando Coelho Filho,PSB,PE,Sim,M,"Sr. Presidente, o meu voto é sim.",
Gonzaga Patriota,PSB,PE,Sim,M,"Colegas Deputados e Deputadas, o Brasil inteiro assistiu agora a pouco ao impeachment da Presidente Dilma, porque o Brasil está desmantelado. Eu venho defendendo já há algum tempo eleições gerais, para não vermos o Parlamento brasileiro, os Governadores, os Prefeitos sendo olhados pelo povo brasileiro de uma maneira muito ruim. Eu quero dizer aqui que, em nome de Eduardo Campos, não vamos desistir do Brasil. O Brasil é bom. E eu voto sim.",
Jarbas Vasconcelos,PMDB,PE,Sim,M,"Sras. Deputadas, Srs. Deputados, é evidente que a Presidente da República não só cometeu crimes como as pedaladas, mas sobretudo mentiu ao País. Mentiu ao País quando prometeu uma coisa na campanha e fez outra, exatamente ao contrário. O País está no fundo do poço, quebrado, arrebentado, sem crédito e desmoralizado. Eu voto sim pelo impeachment. Mas quero, Sr. Presidente, dizer do meu desconforto de ter aqui uma pessoa como V.Exa. presidindo esta Casa. V.Exa. agrava, cada vez mais, com o seu expediente aqui, o processo político brasileiro. Ele fica profundamente maculado com a sua presença.",
João Fernando Coutinho,PSB,PE,Sim,M,"Sr. Presidente, Srs. Deputados, Sras. Deputadas, povo brasileiro, meu voto é pela abertura do processo de impedimento da Presidente Dilma.",
Jorge Côrte Real,PTB,PE,Sim,M,"Sr. Presidente, que esse meu voto signifique o retorno deste País ao desenvolvimento econômico, gerando emprego, gerando mais renda, gerando condições mais dignas ao brasileiro e à família pernambucana. Gostaria de dedicar o meu voto especificamente aos pernambucanos, que me honraram com o mandato, e à minha família, em especial à minha mulher e aos meus netos. O meu voto é sim!",
Kaio Maniçoba,PMDB,PE,Sim,M,"Sr. Presidente, chego ao alto desta tribuna para proferir aqui uma célebre frase do nosso querido Ulysses Guimarães, que disse: A Nação quer mudar. A Nação deve mudar. A Nação vai mudar. Chego aqui com orgulho de ser pernambucano, de ser sertanejo e de ser florestano, para dizer que voto sim ao impeachment!",
Luciana Santos,PCdoB,PE,Não,F,"Há uma canção em Pernambuco que diz: (...) a injustiça dói. Nós somos madeira de lei que cupim não rói. Aqui, o PCdoB vota por aqueles que tombaram pela democracia no nosso País. O PCdoB vota pelos brasileiros e brasileiras que estão nas ruas indignados, no dia de hoje e nos dias que se passaram, porque, além de todas as injustiças desse processo, há um réu aqui comandando o procedimento de impedimento da Presidenta Dilma, uma mulher séria. É por isso que o PCdoB diz em alto e bom som: vai ter luta! Não ao golpe!",
Marinaldo Rosendo,PSB,PE,Sim,M,"Sr. Presidente, quero dizer a todos os meus amigos Deputados e Deputadas que é um prazer estar aqui, neste primeiro mandato pelo PSB de Pernambuco, para poder ajudar o Brasil a melhorar. O nosso Brasil está sendo visto pelo povo brasileiro como um Brasil que está quebrado, que não tem credibilidade nem aqui nem fora do País. Eu queria mandar um grande abraço aos timbaubenses, da cidade de Timbaúba, do Estado de Pernambuco. Pelo nosso Estado, pelos nossos pernambucanos, pelo nosso Brasil, pelo meu grande amigo de sempre Eduardo Campos, por tudo isso, não vamos desistir do Brasil. Meu voto é sim.",
Mendonça Filho,DEM,PE,Sim,M,"Sr. Presidente, Sras. e Srs. Deputados, venho de um Estado de tradições libertárias e democráticas. A Presidente Dilma cometeu crime de responsabilidade. A regra constitucional é clara. O povo coloca o Presidente no poder. Quando o Presidente da República comete crime de responsabilidade, cabe aos representantes do povo — portanto, nós — tirar aquele que cometeu o crime do cargo que ocupa como Presidente da República. E nós estamos cumprindo com a nossa obrigação perante a Constituição. Vamos votar sim pelo impeachment da Presidente Dilma Rousseff.",
Pastor Eurico,PHS,PE,Sim,M,"Feliz é a nação cujo Deus é o Senhor! Em defesa da vida, da família, da moral, dos bons costumes, contra a corrupção e não desistindo do Brasil, meu voto é sim.",
